2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | basic_handlers       | 📤 Событие создано: UserSessionStartRequestedEvent(user_id=1143354705, timestamp=datetime.datetime(2025, 10, 19, 23, 54, 55, 145011), event_type=<EventType.USER_SESSION_START_REQUESTED: 'user_session_start_requested'>)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | basic_handlers       | ✅ Событие UserSessionStartRequestedEvent успешно опубликовано
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.bot_application | 🎯 [SESSION_START_HANDLER] Получен запрос на запуск авто-торговли...
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.bot_application | 🎯 [SESSION_START_HANDLER] Событие: UserSessionStartRequestedEvent(user_id=1143354705, timestamp=datetime.datetime(2025, 10, 19, 23, 54, 55, 145011), event_type=<EventType.USER_SESSION_START_REQUESTED: 'user_session_start_requested'>)
2025-10-19 23:54:55 MSK | WARNING  | User:1143354705 | core.bot_application | Активная сессия не найдена, создается новая для старта торговли.
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | Запуск пользовательской сессии...
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | database             | Загружено 3 API ключей для bybit
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | 🔀 Обнаружено 3 API ключа - активирую Multi-Account Coordinator режим
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | bybit_api            | BybitAPI инициализирован с ключом: odhv...MiD7
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | bybit_api            | BybitAPI использует базовый URL: https://api-demo.bybit.com
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | ✅ API клиент #1 инициализирован | Ключ: odhv...MiD7
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | bybit_api            | BybitAPI инициализирован с ключом: p99i...PbKm
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | bybit_api            | BybitAPI использует базовый URL: https://api-demo.bybit.com
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | ✅ API клиент #2 инициализирован | Ключ: p99i...PbKm
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | bybit_api            | BybitAPI инициализирован с ключом: rsHW...H7TL
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | bybit_api            | BybitAPI использует базовый URL: https://api-demo.bybit.com
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | ✅ API клиент #3 инициализирован | Ключ: rsHW...H7TL
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | 📌 PRIMARY API клиент установлен для компонентов
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | market_analyzer      | MarketAnalyzer инициализирован для пользователя 1143354705
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | Компоненты сессии инициализированы
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | EventBus             | Новая подписка: _user_event_handler на signal (User: 1143354705)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | EventBus             | Новая подписка: _user_event_handler на risk_limit_exceeded (User: 1143354705)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | EventBus             | Новая подписка: _user_event_handler на user_settings_changed (User: 1143354705)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | EventBus             | Новая подписка: _user_event_handler на strategy_restart_requested (User: 1143354705)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | EventBus             | Новая подписка: _user_event_handler на order_filled (User: 1143354705)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | EventBus             | Новая подписка: _user_event_handler на price_update (User: 1143354705)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | EventBus             | Новая подписка: _user_event_handler на position_update (User: 1143354705)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | EventBus             | Новая подписка: _user_event_handler на order_update (User: 1143354705)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | Успешная подписка на пользовательские события.
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Запуск DataFeedHandler...
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | websocket.websocket_manager | API ключи загружены
2025-10-19 23:54:55 MSK | INFO     | User:0          | websocket.websocket_manager | ⚡ МГНОВЕННАЯ подписка на SOLUSDT (publicTrade + kline.5 + kline.1) отправлена
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Подписка на SOLUSDT
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Подписка на watchlist: ['SOLUSDT']
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | EventBus             | Новая подписка: _handle_position_activity на position_update (User: 1143354705)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | websocket.websocket_manager | DataFeedHandler запущен
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | analysis.meta_strategist | Запуск MetaStrategist...
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | EventBus             | Новая подписка: _handle_settings_changed на user_settings_changed (User: 1143354705)
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | analysis.meta_strategist | MetaStrategist запущен
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | Компоненты сессии запущены
2025-10-19 23:54:55 MSK | INFO     | User:1143354705 | core.user_session    | Проверка и запуск постоянных стратегий...
